job_name,req_mem,req_cpus,req_gpus,req_duration,actual_duration,submission_time,start_time,end_time,ran_on
job470,10000000,1,0,82800,8,1609543881,1613475816,1613475824,computeNode4
job472,10000000,1,0,82800,8,1609543881,1613475816,1613475824,computeNode3
job471,10000000,1,0,82800,8,1609543881,1613475816,1613475824,computeNode4
job577,10000000,1,0,86400,8,1609547598,1613475816,1613475824,bigMemNode2
job576,10000000,1,0,86400,8,1609547598,1613475816,1613475824,bigMemNode2
job387,10000000,1,0,82800,9,1609535748,1613475816,1613475825,computeNode1
job386,10000000,1,0,82800,9,1609535748,1613475816,1613475825,computeNode1
job384,10000000,1,0,82800,9,1609535748,1613475816,1613475825,computeNode1
job548,10000000,1,0,86400,9,1609547330,1613475816,1613475825,bigMemNode1
job547,10000000,1,0,86400,9,1609547330,1613475816,1613475825,bigMemNode1
job552,10000000,1,0,86400,9,1609547330,1613475816,1613475825,bigMemNode1
job551,10000000,1,0,86400,9,1609547330,1613475816,1613475825,bigMemNode1
job553,10000000,1,0,86400,10,1609547330,1613475816,1613475826,bigMemNode1
job550,10000000,1,0,86400,10,1609547330,1613475816,1613475826,bigMemNode1
job549,10000000,1,0,86400,10,1609547330,1613475816,1613475826,bigMemNode1
job555,10000000,1,0,86400,10,1609547330,1613475816,1613475826,bigMemNode1
job554,10000000,1,0,86400,10,1609547330,1613475816,1613475826,bigMemNode1
job569,10000000,1,0,86400,11,1609547598,1613475816,1613475827,bigMemNode2
job573,10000000,1,0,86400,11,1609547598,1613475816,1613475827,bigMemNode2
job571,10000000,1,0,86400,11,1609547598,1613475816,1613475827,bigMemNode2
job570,10000000,1,0,86400,11,1609547598,1613475816,1613475827,bigMemNode2
job572,10000000,1,0,86400,11,1609547598,1613475816,1613475827,bigMemNode2
job575,10000000,1,0,86400,11,1609547598,1613475816,1613475827,bigMemNode2
job568,10000000,1,0,86400,11,1609547598,1613475816,1613475827,bigMemNode1
job567,10000000,1,0,86400,11,1609547598,1613475816,1613475827,bigMemNode1
job381,10000000,1,0,82800,12,1609535748,1613475816,1613475828,computeNode1
job380,10000000,1,0,82800,12,1609535748,1613475816,1613475828,computeNode1
job383,10000000,1,0,82800,12,1609535748,1613475816,1613475828,computeNode1
job382,10000000,1,0,82800,12,1609535748,1613475816,1613475828,computeNode1
job574,10000000,1,0,86400,12,1609547598,1613475816,1613475828,bigMemNode2
job541,10000000,1,0,86400,13,1609547330,1613475816,1613475829,bigMemNode1
job540,10000000,1,0,86400,13,1609547330,1613475816,1613475829,bigMemNode1
job539,10000000,1,0,86400,13,1609547330,1613475816,1613475829,bigMemNode1
job545,10000000,1,0,86400,14,1609547330,1613475816,1613475830,bigMemNode1
job538,10000000,1,0,86400,14,1609547330,1613475816,1613475830,bigMemNode1
job543,10000000,1,0,86400,14,1609547330,1613475816,1613475830,bigMemNode1
job542,10000000,1,0,86400,14,1609547330,1613475816,1613475830,bigMemNode1
job546,10000000,1,0,86400,14,1609547330,1613475816,1613475830,bigMemNode1
job544,10000000,1,0,86400,14,1609547330,1613475816,1613475830,bigMemNode1
job560,10000000,1,0,86400,15,1609547598,1613475816,1613475831,bigMemNode2
job561,10000000,1,0,86400,15,1609547598,1613475816,1613475831,bigMemNode2
job566,10000000,1,0,86400,15,1609547598,1613475816,1613475831,bigMemNode1
job565,10000000,1,0,86400,16,1609547598,1613475816,1613475832,bigMemNode2
